,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:43*,11:02,12:21,02:32,23:23:09,"+13 05'27""",12.7,2.31,1.66,118.60,46.26,-44.41,20231120
1,678,678 Fredegundis (A909 BQ),10:42,11:36,12:30,01:47,23:57:16,"+09 53'20""",12.6,2.02,1.28,125.75,50.22,-50.75,20231120
2,639,639 Latona (A907 OA),10:56,12:47,14:38,03:41,01:08:39,"+19 35'30""",12.7,2.76,1.90,144.66,69.87,-43.25,20231120
3,123,123 Brunhild (A872 OB),11:07,12:57,14:46,03:39,01:18:25,"+19 15'33""",12.6,2.42,1.53,146.91,71.65,-43.32,20231120
4,135,135 Hertha (A874 DA),11:49,13:02,14:15,02:26,01:23:48,"+12 12'46""",11.5,2.20,1.30,146.75,69.26,-50.07,20231120
5,122,122 Gerda (A872 OA),12:36,13:14,13:52,01:15,01:35:52,"+08 33'49""",12.8,3.25,2.37,148.28,70.21,-52.93,20231120
6,127,127 Johanna (A872 VB),12:10,13:37,15:04,02:54,01:59:01,"+14 26'44""",12.6,2.72,1.79,155.60,77.90,-45.53,20231120
7,509,509 Iolanda (A903 HD),12:34,13:39,14:43,02:09,02:00:32,"+11 05'10""",12.6,2.79,1.86,154.85,76.78,-48.50,20231120
8,595,595 Polyxena (A906 FL),11:46,13:43,15:41,03:55,02:05:02,"+21 24'52""",12.9,3.23,2.29,157.93,82.26,-38.51,20231120
9,21,21 Lutetia (A852 VA),12:57,13:59,15:01,02:04,02:20:58,"+10 46'29""",10.5,2.27,1.31,159.28,81.22,-46.57,20231120
10,93,93 Minerva (A867 QA),12:06,14:13,16:21,04:14,02:35:21,"+24 32'53""",12.2,2.96,2.00,164.42,89.90,-32.81,20231120
11,119,119 Althaea (A872 GA),13:09,14:16,15:22,02:13,02:37:27,"+11 20'33""",11.6,2.40,1.44,163.09,85.16,-43.99,20231120
12,132,132 Aethra (A873 LA),11:57,14:27,16:57,04:59,02:48:48,"+35 45'15""",12.3,2.43,1.48,160.35,96.87,-21.53,20231120
13,139,139 Juewa (A874 TA),12:25,14:47,17:10,04:45,03:09:25,"+31 18'34""",12.2,2.91,1.94,166.44,99.37,-23.19,20231120
14,241,241 Germania (A884 RA),12:46,14:49,16:52,04:05,03:11:07,"+23 02'45""",11.8,2.88,1.90,172.60,96.95,-29.80,20231120
15,409,409 Aspasia (A895 XC),12:54,14:50,16:45,03:50,03:11:48,"+20 46'10""",11.4,2.76,1.78,173.49,96.31,-31.55,20231120
16,154,154 Bertha (A875 VD),12:38,14:54,17:10,04:31,03:15:37,"+27 58'13""",12.6,3.40,2.42,169.98,99.55,-25.20,20231120
17,90,90 Antiope (A866 TA),13:16,14:59,16:41,03:24,03:20:47,"+17 28'58""",12.8,3.14,2.15,175.24,97.17,-32.82,20231120
18,144,144 Vibilia (A875 LA),13:33,15:05,16:38,03:05,03:27:14,"+15 26'42""",10.4,2.14,1.16,175.08,97.93,-33.35,20231120
19,895,895 Helio (A918 NA),12:39,15:11,17:44,05:04,03:33:25,"+38 11'45""",12.4,2.78,1.82,161.26,106.1,-14.72,20231120
20,363,363 Padua (A893 FD),13:39,15:28,17:16,03:37,03:49:55,"+18 58'42""",12.4,2.63,1.64,177.37,104.2,-27.07,20231120
21,481,481 Emita (A902 CB),13:47,15:29,17:11,03:24,03:50:56,"+17 27'16""",11.5,2.31,1.32,176.51,104.0,-27.99,20231120
22,182,182 Elsa (A878 CC),13:50,15:30,17:11,03:21,03:52:22,"+17 05'11""",10.8,1.96,0.977,176.01,104.2,-28.00,20231120
23,24,24 Themis (A853 GA),13:39,15:34,17:30,03:51,03:56:27,"+20 50'52""",11.5,3.08,2.09,175.68,106.2,-24.67,20231120
24,70,70 Panopaea (A861 JA),13:33,15:42,17:51,04:17,04:04:13,"+25 06'33""",12.0,2.77,1.78,171.90,109.1,-20.38,20231120
25,503,503 Evelyn (A903 BL),13:52,15:43,17:33,03:41,04:04:57,"+19 30'24""",12.2,2.38,1.39,173.88,107.7,-24.17,20231120
26,65,65 Cybele (A861 EB),14:13,15:49,17:26,03:13,04:11:40,"+16 14'57""",12.3,3.82,2.84,171.57,108.3,-25.18,20231120
27,113,113 Amalthea (A871 EA),14:26,15:49,17:11,02:44,04:11:04,"+13 37'52""",11.8,2.53,1.55,170.33,107.4,-27.01,20231120
28,346,346 Hermentaria (A892 WC),14:33,16:00,17:27,02:54,04:22:25,"+14 26'01""",10.8,2.56,1.59,168.45,110.2,-24.38,20231120
29,306,306 Unitas (A891 EA),15:11,16:01,16:50,01:38,04:22:59,"+09 27'48""",12.1,2.44,1.47,165.38,108.8,-27.34,20231120
30,358,358 Apollonia (A893 EC),14:33,16:09,17:45,03:12,04:31:08,"+16 11'34""",12.4,2.44,1.47,167.16,112.8,-21.64,20231120
31,347,347 Pariana (A892 WD),14:40,16:12,17:44,03:03,04:34:19,"+15 19'17""",12.8,2.68,1.71,166.16,113.2,-21.58,20231120
32,95,95 Arethusa (A867 WA),14:16,16:13,18:10,03:53,04:35:28,"+21 13'55""",11.7,2.64,1.67,166.65,115.1,-17.67,20231120
33,758,758 Mancunia (A912 KB),14:39,16:16,17:54,03:14,04:38:42,"+16 22'13""",12.3,2.72,1.75,165.46,114.6,-20.10,20231120
34,480,480 Hansa (A901 KB),14:43,16:23,18:02,03:18,04:44:51,"+16 47'20""",11.8,2.53,1.57,164.12,116.1,-18.67,20231120
35,317,317 Roxane (A891 RD),14:49,16:40,18:32,03:42,05:02:28,"+19 44'12""",12.8,2.27,1.31,160.35,120.9,-13.56,20231120
36,160,160 Una (A876 DA),14:36,16:53,19:10,04:34,05:15:31,"+28 25'25""",12.8,2.55,1.61,156.26,125.4,-6.09,20231120
37,498,498 Tokio (A902 XA),15:23,17:01,18:40,03:17,05:23:37,"+16 40'16""",12.6,2.54,1.61,155.00,125.0,-11.13,20231120
38,210,210 Isabella (A879 VA),14:47,17:04,19:22,04:35,05:26:29,"+28 40'49""",12.9,2.41,1.48,153.87,127.8,-3.96,20231120
39,389,389 Industria (A894 EE),14:48,17:07,19:25,04:37,05:28:54,"+29 12'54""",12.0,2.68,1.76,153.23,128.4,-3.22,20231120
40,159,159 Aemilia (A876 BA),15:49,17:23,18:58,03:09,05:45:33,"+15 49'27""",12.7,2.84,1.94,149.67,129.9,-7.09,20231120
41,704,704 Interamnia (A910 TC),15:19,17:44,20:09,04:50,06:06:18,"+32 34'51""",10.7,2.79,1.93,144.63,136.4,5.38,20231120
42,488,488 Kreusa (A902 MC),15:43,17:45,19:47,04:03,06:07:39,"+22 45'19""",12.6,3.00,2.14,145.26,136.4,0.88,20231120
43,37,37 Fides (A855 TB),15:29,17:46,20:03,04:33,06:08:29,"+28 15'25""",10.4,2.18,1.30,144.87,137.0,3.71,20231120
44,776,776 Berbericia (A914 BE),15:53,17:58,20:04,04:11,06:20:55,"+24 01'16""",11.7,2.60,1.75,142.25,139.5,4.16,20231120
45,4,4 Vesta (A807 FA),16:15,18:05,19:55,03:39,06:27:28,"+19 20'47""",7.11,2.57,1.73,140.38,140.4,3.34,20231120
46,9,9 Metis (A848 HA),16:01,18:09,20:17,04:16,06:31:30,"+24 55'37""",9.29,2.09,1.24,139.86,142.0,6.72,20231120
47,48,48 Doris (A857 SA),16:55,18:20,19:45,02:50,06:42:28,"+14 05'40""",11.9,2.91,2.12,135.88,142.7,4.14,20231120
48,5,5 Astraea (A845 XA),16:52,18:27,20:01,03:09,06:49:17,"+15 50'58""",10.5,2.26,1.45,134.66,144.8,6.40,20231120
49,92,92 Undina (A867 NA),17:28,19:24,21:19*,03:14,07:46:32,"+20 51'36""",12.4,3.33,2.70,122.27,159.0,20.84,20231120
